Title,Description,Quantity Required,Unit,Quotes Left,Location,Buyer Name,Experienced Buyer,Complete Order via RFQ,Typical Replies,Interactive User,Email Status,Buyer Profile,Posted Time,Inquiry Url
sliding gate motor kit,Motor 1 Remote-5 Photo sensor 1 set Clutch key Rak.5 meter Mounding plate,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Baby Toy 1 2 Years Sensory Games for Baby 6 9 12 18 Months Shape Sorter with Textured Balls Sensory ...,shipping Cost to sharjah UAE Function:Teaching Description:Wooden Brain Teaser Puzzle Material:Wood Color:Picture Style:Earlier Education Age:3 Ages+ Size:18.5*12.5*13cm Weight:0.4kg ...,1,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Two-Seater Electric Moped Scooter Street Legal with Durable Range Product Type Electric Scooter,"Hi there!I'm considering buying a scooter from your company,and I wanted to inquire about the safety features you offer.Could you please let me know if your scooters have any built-in safety features,...",10,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
"45 Degree and 90 Degree Aluminum Cutting Machine,Profile Cutting Machine","Hi,I'm interested in this product.How long will it take to ship to my country?product:Door and window corner cutting machine Name:cut-off machine Keywords:Wood Working Tool Usage:Woodworking Equipment...",1,piece/pieces,Quotes Left2,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Alfalfa for sale alfalfa hay bales,"I'm looking for Alfalfa for sale alfalfa hay bales.Product specifications:·Keyword: Alfalfa for Cattle, Camel, Horse·Type: HAY·Variety: Alfalf...",50,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Hot Sauce Tray with Lazy Susan Mechanism,We are looking to purchase 100 pieces of hot sauce trays that can spin like a lazy susan. Product specifications: â¢ Material:Durable plastic or stainless steel â¢ Quality:Food safe ...,100,pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
mdpe fittings,"Dear Team, please quote your best prices with stock availability&Data sheet, QTY 250 pcs of each item OPTION#01(FEMALE THREAD) 1-20mm MDPE x 1/2""Brass Female BSP Adaptor 2-25mm MDPE x 3/4""Brass Female...",2500,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
baby clothes,"Hi I am Samuel from AWS Distribution-Dubai. I am currently looking for some Garment Apparel Clothing(Example:3 Packs,5 packs,PJ sets,skirts,Bodysuit.sleepsuits,Rompers etc and any clothing for ...",1,forty-foot container,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
2025 Hot Selling Boomsbox 3 Wireless Speaker BT5.1 Outdoor Partybox Subwoofer Hight Powerful Outdoor...,model number:Boomsbox 3 Function:Play Music BT version:BT V5.1 Standby time:About 100 Hours Support:TF Card Music Playing frequency range:50Hz-20KHz Effective distance:10m Keyword:Wireless Speaker ...,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
A99-8x100GE-SE,"Please quote your best discounted price along with the lead time,warranty and packing details. A99-8x100GE-SE-5 nos A9K-4X100GE-SE-2 nos",5,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
SHIKOL Mens Arabic Sandals Laser Crafted Calf Leather comfort Metal Buckle Professional Manufacturer Men Shoes Gulf Mens Sandals,مرحبًا، لدي اهتمام بهذه المنتجات.product: Men Leather Arabic Sandals Saudi Style Handmade Genuine Leather Comfortable Quality Shoes Slippers Profess...,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
dialysis dressing kit,I'm looking for dialysis dressing kit. Also:,1000,box/boxes,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
BNC Crimp Crimping Connector Male Plug RG58 Cable RG6 Female RG59 75ohm,"Hi,I'm interested in this product. product:BNC Crimp Crimping Connector Male Plug Tool RG58 Canare Cable RG6 Female RG59 75ohm Plier Bcp-B4f Video HD-4 Angle for RG179 RG316 RG174 RF Signal Adapter ...",2,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
صناديق تروس,هينداى توسان 2015 4w,1,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Wholesale Cheap Custom Rubber Debossed logo Color Filled Wrist Bands Silicone Wristband Bracelet for...,"Hello,I hope this message finds you well.I am interested in purchasing promotional and business gifts from your company.Could you please provide information on the customization options available for ...",100,piece/pieces,Quotes Left3,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
65-110 Inch Interactive Whiteboard,I'm looking for 65-110 Inch Interactive Whiteboard.Product specifications:·Certificates: CE FCC ROHS CB ISO9001·folded: NO·whiteboard type: In...,1,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Wooden Book Holder with Storage,We are looking to source wooden book holders with storage. Product specifications: â¢ Material:High-quality wood â¢ Storage:Integrated compartments for additional storage â¢ Design:...,30,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
2 Colorway Solid Color v Neck Buttons up Casual Fashion Sweater Vest for Women,"Feature:Breathable Gauge:Others Material:100%Polyester Technics:None Gender:Women Season:Autumn Item Type:Vest,Sleeveless Clothing Length:Regular Pattern Type:Solid Sleeve Style:Regular ...",2,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
SS41T-0.22 41mm Piezo Element Piezo Ceramic Disc for Piezo Switch Buzzer,"Good morning,My name is Bashir,representing LIN SCAN Advanced Pipelines and Tanks Services.We are currently seeking a supplier capable of manufacturing customized ceramic discs for our ILI UT tools,...",1000,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
"Simatic S7-300,6ES7 318-3EL00-0AB0","We are looking to purchase Simatic S7-300,6ES7 318-3EL00-0AB0 for our operations. Product specifications: â¢ Processor:Central processing unit with integrated memory â¢ Communication:Multiple ...",1,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Electronic Components:CPU Module and Power Supply,"Dear Team, We are looking to purchase electronic components for an upcoming project.Specifically,we need a CPU module and a power supply to support our system requirements. Sourcing quantity-1 No ...",2,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
4 flute milling drill bit cutter carbide end mill HRC68,4 flute milling drill bit cutter carbide end mill HRC68 WE REQUIRE SIZES FROM 10MM TILL 30MM DIAMETER,10,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
DIO 50cc Used Scooter Taiwan Made 2 Stroke Refitted Repaired Factory Export,مرحبًا، لدي اهتمام بهذه المنتجات.product: Used gas scootersFuel: Gas / DieselMax. Speed: 61 - 80km/hBrake(F/R): drum/Disc BrakeEngine Type: ...,1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Wholesale ABS PP Materia Engine Cover Cylinder Head Cover T-spec Style for Nissan GTR R35,Material: Carbon FiberCar Make: For  GTR R35Package: Standard Carton Box with Wooden FrameStyle: T-specFitment: Perfect FitmentPurpose: for ...,1,set/sets,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
2024 USED Toyota-Hilux Double Cab PICK UP TRUCK,I'm looking for 2024 USED Toyota-Hilux Double Cab PICK UP TRUCK .Product specifications:·COMPATIBLE TRUCK: 2024 USED Toyota-Hilux Double Cab PICK ...,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Customized PVC Retail Product Display Stand PVC Display Stand Suitable for Supermarket Stores,"Hi,I'm interested in this product. product:Supermarket pvc board display stand Material:PVC Foam Certifications:ISO9001,FSC Printing:4C UV Printing Size:Customized Structure:Customized ...",1000,piece/pieces,Quotes Left1,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
DIY LED Night Light with Message Board Acrylic ABS Plug-In Power Supply for Bedroom Creative 3D Pen Rewritable Blank Gift,مرحبًا، لدي اهتمام بهذه المنتجات.product: Message board 3d lights  3d night light base 3d lamp base wood 3d night light note board bedroom 3d pen li...,25,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
MB08-24 Static Mixer Mixing Tube Dispensing Tube Mixing Nozzle Dispensing Nozzle Mixer Glue Stick,"Hi,I'm interested in this product. 90142 MIXER NOZZLER FOR DP125 MBQH05-16SÂ 1:1 700 pcs product:Static mix nozzle Material:PP Colors:Green Application:Industry Plastic Modling Type:Mould ...",700,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
looking for aterficial flower for a weeding anny,"Dear factories Iâm a wholesaler for wedding supplier,I want those designs I have attached exactly I need the same as my photos,I need each design between 500 pieces to 2000 pieces,I have agency ...",2000,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
E88 Drone with Dual Pro 4K HD Camera Wide-Angle Remote Control 3km Video Indoor Hover Foldable ...,shipment cost and delivery time Battery Capacity:3.7V 1800mAH lithium cell Video Head:3D SPIN/FLIP FOLDING size:Expand:25X25X5.3cm Flight time:about 12-15 minutes Flying distance:150 meters ...,5,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
10kw Wind Generator Set,I am looking for a Wind generator with a rated power of 10kw for energy generation purposes. Product specifications: â¢ Rated power:10kw â¢ Start wind speed:1.5m/s â¢ Output Voltage:24v ...,1000,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
"Quick Delivery Used Tires Sizes 13""14""15""16""17""18""19""20""21""/Buy Used Tires Sizes 215/65R15,215/60R17...",Grade:A Type:Used Tire,50,set/sets,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
chocolate bar foil wrapping machine foil wrapping machine folding wrapping machine,"Hi,I'm interested in this product.What is the shipping cost?Packing material:foil function:Wrapping application:Food packaging type:Foil packaging material:Paper packaging material:plastic ...",1,sets,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Perfume Bottle With Wood Lid perfume Bottles 100ml empty Perfume Bottles Square Aluminium Perfume ...,I'm looking for Perfume Bottle With Wood Lid perfume Bottles 100ml empty Perfume Bottles Square Aluminium Perfume Spray Bottle Gift Box Packaging 30ml 50ml Luxury Square Clear Glass Perfume Empty ...,10,dozen/dozens,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Factory Direct Sales Custom 3D Relief logo Hang Tag Recycled Paper Clothing Hang Tag Logo Embossing,I would like 100 business cards with convex raised white letterings on one side only.The other side to be plain.To be shipped to UAE.Pls confirm Product Type:Label Surface Finish:Film Lamination ...,200,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Modern Wooden TV Stands with Storage for Living Room and Home Office,Structured Purchasing Requirements General overview: We are looking to purchase TV stands for use in living rooms and home offices.The TV stands should be made of wood and fit seamlessly into modern ...,1,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Custom Logo Non-Branded 40oz Stainless Steel Vacuum Insulated Car Travel Mug with Handle&Straw ...,"Hi,Iâm interested in your insulated stainless steel Double-Wall Insulated TumblerI want to dropship this product to UAE customers with my brand name""Rihla"".Can you please confirm:1.Do you offer ...",1,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Lithium Ion Battery Energy Storage Battery Solar Energy Storage Lithium Ion Battery 10kw 5.12v 100ah...,I'm looking for Lithium Ion Battery Energy Storage Battery Solar Energy Storage Lithium Ion Battery 10kw 5.12v 100ah Lifepo4 48v 100ah Lithium Battery Pack Best Price Lifepo4 Battery 5kwh Lithium Ion ...,1,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
detachible magnetic mag items,"Product Title: Modular Phone Cases with Magnetic Detachable Accessories(Lip Gloss,Fidget Pad,Car Key Holder) Product Description: Looking for a reliable manufacturer to produce high-quality Phone ...",500,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Yeasin ali,Further requirements: Â·Customization requirements:Logo customization,130,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Most Sells Suzuki Swift Hatchback GLX 1.2L CVT Used Car,brand name:Suzuki type:Sedan feature:Automatic power source:Other,1,unit/units,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Man -woman jacket for winter,500 to 1000 pic availableHigh qualityHigh weghit 1 kilosPayment py alybabaCargo to Dubai,1000,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Top Quality Ceremonial Grade Organic Matcha Japanese Green Tea Uji Matcha Made in Kyoto,"hii,can I get a sample before placing an order?Function:Healthy Drink Tea type:Organic Instant Matcha Tea Powder Keyword:Matcha High Quality 100%Pure Matcha Green Tea Matcha Powder ...",1,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
press on nails wholesale,"We are looking for wholesale suppliers of press on nails.Our product specifications are as follows: Material:Acrylic,gel,or other durable materials Size:Various sizes to fit different customers' needs...",300,set/sets,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Wholesale Type C Male to USB Female OTG USB C Converter 6A 120W USB 3.0 Type C OTG Adapter for ...,"Hello!We are interested in purchasing custom cables from your company.Could you please provide us with information on the process for ordering custom cables?Additionally,we would like to know if there...",50,piece/pieces,Quotes Left1,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Outdoor Sun Lounger,"I'm looking for Outdoor Sun Lounger. Product specifications: mail packing:N material:Rattan,Aluminum,Waterproof Sponge specific use:Sun Lounger general use:Outdoor Furniture folded:NO",6,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
injector for hyundai santa fe diesel 2008 0445110388-825,I'm looking for injector for hyundai santa fe diesel 2008 0445110388-825. Also:,3,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
EMS Seamless Underware,"I'm looking for EMS Seamless Underware.Product specifications:·Feature: Breathable·Gender: Unisex·Style: Sets·Material: 47%Lyocell,24%Polypr...",200,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Yofer Honda Accord 10th Gen Bodykit Full Set,We are looking to purchase bodykit sets for Honda Accord 10th generation cars.This purchase aims to enhance the exterior of the vehicles. Product specifications: â¢ Compatible with 2018&2021 Honda...,2,set,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Sisal ball with feather mouse,I'm looking for Sisal ball with feather mouse. Product specifications: Usage:Dog Playing Chewing Feature:Interactive Applicable Pet:Cats Type:Plush Toy Usage:Outdoor,10,piece/pieces,Quotes Left3,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Hot Selling High Quality 10ft*10mm Laminated PVC Ceiling Tiles Panels PVC Wall Panel,I'm looking for Hot Selling High Quality 10ft*10mm Laminated PVC Ceiling Tiles Panels PVC Wall Panel. Product specifications: Â·Project Solution Capability:graphic design Â·Function:Fireproof ...,150,piece/pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Best Selling J-5 All in One Album Make Machine Wedding Album Printing Machine for Assembly of Books ...,Hi Im looking J-5 Album Machine-1 unit.and Album Cutter.Can you please send me the price and production time.Thanks Automatic Grade:Semi-automatic Voltage:220v Dimension(L*W*H):122*78*125cm ...,1,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
winner sky scooter battery 48v 15ah,I'm looking for winner sky scooter battery 48v 15ah. Also:,1,gram/grams,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
router wifi,Further requirements: Â·Supplier type:manufacturer Â·Samples:required Â·Customization requirements:Logo customization,200,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Gaming Computer Chair,I am looking for a gaming computer chair.The chair will be used mainly in an office setting but needs to have the features and style typical of a gaming chair. Product specifications: ...,100,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Good Quality Hard-Wearing Fashion Women Wedding Hot Sale Anti-Slippery Sandals PVC Flip-flops ...,"hello,whats the price for one pair?Midsole Material:PVC Season:Autumn Season:Spring Season:Summer Season:Winter Outsole Material:PVC Upper Material:PVC Lining Material:PVC Toe Style:Round Toe ...",30,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Jaysuing Hair Growth Spray Nourishing Root Hair Thick Growth Liquid Anti-fall Hair-fixing Spray,"Function:Hair growth,reduce the hair lose and broken hair Volume(ML):30ml/120ml Usage:Hair Regrowth Care Packaging:1piece/box OEM/ODM:Accepted type:Hair Oil application:For Home Use ...",5,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Refined palm Oil|Cheap Refined palm Oil|Buy Refined palm Oil|Refined palm Oil for sale,I'm looking for Refined palm Oil|Cheap Refined palm Oil|Buy Refined palm Oil|Refined palm Oil for sale. Product specifications: Type:Palm Oil Product Type:Wood Oil Processing Type:Refined ...,100,bag/bags,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Factory Price Dye Clear 3D Printing Service Sla Transparent Stl Model Resin Print Plastic Part Rapid...,Product Name:Solio â Dashboard Heat Protection Unit for Car-Product Purpose:Solio is a dashboard-mounted accessory designed to shield the car interior from sun heat and UV rays.It combines ...,100,piece/pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Body gloves scrub,I'm looking for Body gloves scrub.Product specifications:·feature: EXFOLIATING·material: Viscose·type: Glove·application: Body·Feature: re...,50,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Thrift ukay ukay clothes for spring and autumn,I'm looking for Thrift ukay ukay clothes for spring and autumn. Product specifications: Â·Material:Polyester/Cotton Â·Gender:mixed Â·Type:Other Â·Season:Spring Â·Age Group:kids,45,kilogram/kilograms,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Keystone,"Hello SalesKindly give your best price and availabilityÂ andÂ Butterfly valve 8""DN200 with handlePREMSEAL#38DW112,GJS-400-1516 BAR,-40/120 DEG CType:Wafer.Brand:Â Keystoneââ-4Â ...",2,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
High-end High Pressure Filtered Shower Head Filtered Showerhead for Skin Care,"Hello team,I'm evaluating your shower head for a new UK brand.Please confirm:Brandingâ¢ Logo(laser/UV)on head Material:ABS Plastic,Stainless steel Surface finish:Chrome Function:1 Function ...",200,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
SRFPT Intel Xeon Gold 5220 200 units grade A used,SRFPT Intel Xeon Gold 5220 200 units grade A used,200,piece/pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
High speed rc car,I'm looking for High speed rc car. Product specifications: Â·Speed:50-80km/h Â·State of Assembly:Ready-to-Go Â·Control Channels:4 channels Â·Package Includes:Original Box Â·Material:Metal ...,1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Custom Arabic Cookie Cutters,Hi I am interested in making Arabic number custom cookie cutters(metal).There will be 10 numbers.Then after we make 1 set each I will order 10 sets(100 pieces total).I attached a picture to give you ...,10,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Ebyte e01-ml01s,"I am looking for ebyte e01-ml01s module 3 full reels,also I need some other electronics and I have a bom",1050,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
piling rig,hi i am looking for used piling rig,1,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
New Car Formula Leopard 8 Suv 2025 Leopard 8 Byd Phev 7-seater 1200km Range Plug-in Hybrid Vehicle ...,Energy type:Plug-in Hybrid Length*width*height:5195*1994*1905 Wheelbase:2920mm Seats:6/7 Seats Steering:Left Max Speed:180 Km/h Charging time:0.27h Maximum power:550kw Maximum torque(Nm):760,1,unit/units,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
VR Game Machine,I'm looking for VR Game Machine. Product specifications: Â·Type:Speed racing car driving simulator Â·Inflatable:NO Â·Occasion:indoor commercial amusement park Â·Material:plastic ...,1,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Rayshine Silicone Kitchen Accessories Gadgets Cooking Kitchenware Silicone Utensils Set With Wooden ...,"Hi,I'm interested in this product. product:Kitchenware Keyword:Kitchen Utensils Set,Cookware Sets,Kitchen Accessories Material Weight:Silicone Wood Handle#710g Color:Black,Red,Gray,Mint Green,Light ...",2,piece/pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
4 Automatic Tanks Drink Juicer Dispenser Cold Beverage Price,"Bonjour , je suis intéressé.e par ces produits.product: Drinking water dispenser priceTank: 1/2/3/4Capacity: OptionalTank material: PCBody m...",1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Plastic Bottles,"We are looking to purchase plastic bottles for our product line. Product specifications: â¢ Capacity:150,250ml â¢ Material:Plastic â¢ Color:Clear(transparent) â¢ Type:Screw-top lid ...",1000,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
New AUTHENTIC ORIGINAL IPHONES 16 PRO&PRO MAX BUY 5 GET 2 FREE Available to ship,grade:DIY grade:Industrial customized support:OEM,2,unit/units,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
Solar panels,We are looking to purchase solar panels for use in solar energy systems and solar power systems.Product specifications:• Power output: 720W and...,36,piece/pieces,Quotes Left4,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
LINGO OEM/ODM 2/5/7.5/10/15cm Thickness Available Full Body Support Soft Natural Latex Foam Mattress,"Hi,I'm interested in this product.How long will it take to ship to my country?product:Soft Mattress Products name:Latex Foam Mattress Topper OEM/ODM:Available Function:Healthy Sleep Body Support ...",1,piece/pieces,Quotes Left9,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
DJI Osmo Pocket 3 Smallest 3-axis Stabilized Handheld Camera with 4K 60fps Video and 12 MP 140-min ...,Sensor:1-inch CMOS Touchscreen Size:2.0 inches Max Video Bitrate:130 Mbps Photo Formats:JPEG/JPEG+DNG Video Format:MP4(H.264/HEVC) Battery:1300 mAh Energy:10.01 Wh Operating Time:166 mins ...,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:3 days ago,
air conditioner for control panel,I am looking for Eldon brand Model Type:CUH14002CEXP air con,1,piece/pieces,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
硅胶涂层 植绒 遮光窗帘面料,ä¸å±ç¡è¶ææ¤ç» å¨é®å280CM é¨å¹æ¥äºçºº çªå¸å¸æ æ°é10000ç±³ï¼é¢è²10ä¸ªè²ãå®æ³¢æ...,10000,meter/meters,Quotes Left8,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
Wholesale Luxury 30ml 50ml 100ml Clear Square Fragrance Scent Packaging Glass Perfume Bottle,Style:Luxury Body Color:could be customized Logo:could be customized OEM/ODM:Welcome Surface printing:SCREEN PRINTING Industrial Use:Cosmetic Use:PERFUME Use:Essential Oil Sealing Type:PUMP SPRAYER ...,100,piece/pieces,Quotes Left7,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
Retractable Folding Auto Roller Lid Truck Bed Tonneau Cover Truck Accessory for Toyota Hilux ...,"Hello,I am interested in tonneau covers for Toyota Hilux and Mitsubishi L200 from 2020 onwards.Can I please have a quotation for both normal and electrical ones?Thank you Material:Aluminium ...",100,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
New Original Ready Stock Efector Iia2010lab0a/sl/ii0264,"Hi,I'm interested in this product.IFM-II0264-12 pcs please quote product:Plc Brand New Original Spot Plc Programming Controller Plc Programming Controller Industrial Automation Plc Pac and Dedicated ...",12,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
Hot Sale New 16 in 1 Multifunctional Vegetable Cutter Manual Vegetable Onion Chopper Food Chopper ...,hiWhat is the best price you can offer?What is the shipping cost?,25,piece/pieces,Quotes Left5,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
Desktop 50*50mm 2*2 Inch Square Manual Magnet Fridge Badge Making Machines,"hello,I would like to buy one of your machines,and if possible to know when is the fastest date to ship to Israel,also if possible a wider explanation of what comes with the machine and all the vital ...",1,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
Hygienic Flat Surface unwelded plastic pallet need,Pallet 1:1200x1000x160mm-10pcs Pallet 2:1200x800x160mm-10pcs we need without welded pallet top and bottom part.pictures is attached,20,piece/pieces,Quotes Left6,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
"Factory Rejected Grade B Diapers/Nappies,Wholesale Baby Diapers Stock Lot Grade B Baby Diapers",Hi there!I'm currently looking for hygiene products and I'm particularly interested in those that have been derm-tested.Could you please let me know if your products have undergone any dermatological ...,10,forty-foot container,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
No Minimum Personalized Custom Metal Epoxy Enamel Pin Lapel Pin Companies Logos Souvenir Name Tag ...,We are looking Epoxy Pin badges35mm dia attached image for your reference Shipping to Dubai qty 6000pcs can u pls let us know your lead time and delivery timekindly quote for best price please share ...,6000,piece/pieces,Quotes Left0,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
TOYOTA,hi dear i am looking for TOYOTA CAMRY hybrid 2.5 model 2025 or AVALON model 2024 2.5L hybrid,1,piece/pieces,Quotes Left10,Posted in:United Arab Emirates,,No,No,No,No,No,,Date Posted:4 days ago,
